"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,2839630160,2839630176,0,1,0,0,0,0
1,2839630160,2839630176,0,1,0.001,0.001,6.25e-06,0
1,2839630160,2839630176,0,1,0.002,0.002,1.25e-05,0
1,2839630160,2839630176,0,1,0.0030001,0.003,1.875e-05,0
1,2839630160,2839630176,0,1,0.0040001,0.004,2.5e-05,0
1,2839630160,2839630176,0,1,0.0050001,0.005,3.125e-05,0
1,2839630160,2839630176,0,1,0.0060001,0.006,3.75e-05,0
1,2839630160,112062224,0,1,0.0070001,0.007,4.375e-05,0
1,2839630160,112062224,0,1,0.0080002,0.008,5e-05,0
1,2839630160,112062224,0,1,0.0090002,0.009,5.625e-05,0
1,2839630160,112062224,0,1,0.01,0.01,6.25e-05,0
1,2839630160,112062224,0,1,0.011,0.011,6.875e-05,0
1,2839630160,112062224,0,1,0.012,0.012,7.5e-05,0
1,112276768,112062224,0,1,0.013,0.013,8.125e-05,0
1,112276768,112062224,0,1,0.014,0.014,8.75e-05,0
1,112276768,112062224,0,1,0.015,0.015,9.375e-05,0
1,112276768,112062224,0,1,0.016,0.016,0.0001,0
1,112276768,112062224,0,1,0.017,0.017,0.00010625,0
1,112276768,112062224,0,1,0.018,0.018,0.0001125,0
1,112276768,112062224,0,1,0.019,0.019,0.00011875,0
1,112276768,112062224,0,1,0.02,0.02,0.000125,0
1,112276768,112062224,0,1,0.021,0.021,0.00013125,0
1,112276768,112062224,0,1,0.022,0.022,0.0001375,0
1,112276768,112062224,0,1,0.023,0.023,0.00014375,0
1,112276768,112062224,0,1,0.024,0.024,0.00015,0
1,28271,1634599033,0,1,0.025,0.025,0.00015625,0
1,28271,1634599033,0,1,0.026001,0.026,0.0001625,0
1,28271,1634599033,0,1,0.027001,0.027,0.00016875,0
1,28271,1634599033,0,1,0.028001,0.028,0.000175,0
1,28271,1634599033,0,1,0.029001,0.029,0.00018125,0
1,28271,1634599033,0,1,0.030001,0.03,0.0001875,0
1,28271,1634599033,0,1,0.031001,0.031,0.00019375,0
1,1685221215,1634296942,0,1,0.032001,0.032,0.0002,0
1,1685221215,1634296942,0,1,0.033001,0.033,0.00020625,0
1,1685221215,1634296942,0,1,0.034001,0.034,0.0002125,0
1,1685221215,1634296942,0,1,0.035001,0.035,0.00021875,0
1,1685221215,1634296942,0,1,0.036001,0.036,0.000225,0
1,1685221215,1634296942,0,1,0.037001,0.037,0.00023125,0
1,1886220131,1766611563,0,1,0.038001,0.038,0.0002375,0
1,1886220131,1766611563,0,1,0.039001,0.039,0.00024375,0
1,1886220131,1766611563,0,1,0.040001,0.04,0.00025,0
1,1886220131,1766611563,0,1,0.041001,0.041,0.00025625,0
1,1886220131,1766611563,0,1,0.042001,0.042,0.0002625,0
1,1886220131,1766611563,0,1,0.043001,0.043,0.00026875,0
1,1426092655,1836008289,0,1,0.044001,0.044,0.000275,0
1,1426092655,1836008289,0,1,0.045001,0.045,0.00028125,0
1,1426092655,1836008289,0,1,0.046001,0.046,0.0002875,0
1,1426092655,1836008289,0,1,0.047001,0.047,0.00029375,0
1,1426092655,1836008289,0,1,0.048001,0.048,0.0003,0
1,1426092655,1836008289,0,1,0.049001,0.049,0.00030625,0
1,1970561909,7499635,0,1,0.050001,0.05,0.0003125,0
1,1970561909,7499635,0,1,0.051001,0.051,0.00031875,0
1,1970561909,7499635,0,1,0.052001,0.052,0.000325,0
1,1970561909,7499635,0,1,0.053001,0.053,0.00033125,0
1,1970561909,7499635,0,1,0.054001,0.054,0.0003375,0
1,1970561909,7499635,0,1,0.055001,0.055,0.00034375,0
1,1197761906,0,0,1,0.056001,0.056,0.00035,0
1,6580594,0,0,1,0.057001,0.057,0.00035625,0
1,6580594,0,0,1,0.058001,0.058,0.0003625,0
1,6580594,0,0,1,0.059001,0.059,0.00036875,0
1,6580594,0,0,1,0.060001,0.06,0.000375,0
1,6580594,0,0,1,0.061001,0.061,0.00038125,0
1,6580594,0,0,1,0.062001,0.062,0.0003875,0
1,1308622949,213,0,1,0.063001,0.063,0.00039375,0
1,1308622949,213,0,1,0.064001,0.064,0.0004,0
1,1308622949,213,0,1,0.065001,0.065,0.00040625,0
1,1308622949,213,0,1,0.066001,0.066,0.0004125,0
1,1308622949,213,0,1,0.067001,0.067,0.00041875,0
1,1308622949,213,0,1,0.068001,0.068,0.000425,0
1,1348882290,0,0,1,0.069001,0.069,0.00043125,0
1,1348882290,0,0,1,0.070001,0.07,0.0004375,0
1,1348882290,0,0,1,0.071001,0.071,0.00044375,0
1,1348882290,0,0,1,0.072001,0.072,0.00045,0
1,1348882290,0,0,1,0.073001,0.073,0.00045625,0
1,1348882290,0,0,1,0.074001,0.074,0.0004625,0
1,1308622963,0,0,1,0.075001,0.075,0.00046875,0
1,1308622963,0,0,1,0.076001,0.076,0.000475,0
1,1308622963,0,0,1,0.077002,0.077,0.00048125,0
1,1308622963,0,0,1,0.078002,0.078,0.0004875,0
1,1308622963,0,0,1,0.079002,0.079,0.00049375,0
1,1308622963,0,0,1,0.080002,0.08,0.0005,0
1,1700949365,487,0,1,0.081002,0.081,0.00050625,0
1,1130778482,0,0,1,0.082002,0.082,0.0005125,0
1,1130778482,0,0,1,0.083002,0.083,0.00051875,0
1,1130778482,0,0,1,0.084002,0.084,0.000525,0
1,1130778482,0,0,1,0.085002,0.085,0.00053125,0
1,1130778482,0,0,1,0.086002,0.086,0.0005375,0
1,1936485477,0,0,1,0.087002,0.087,0.00054375,0
1,1768902656,0,0,1,0.088002,0.088,0.00055,0
1,1768902656,0,0,1,0.089002,0.089,0.00055625,0
1,1768902656,0,0,1,0.090002,0.09,0.0005625,0
1,1768902656,0,0,1,0.091002,0.091,0.00056875,0
1,1768902656,0,0,1,0.092002,0.092,0.000575,0
1,1768902656,0,0,1,0.093002,0.093,0.00058125,0
1,1635017028,244,0,1,0.094002,0.094,0.0005875,0
1,1635017028,244,0,1,0.095002,0.095,0.00059375,0
1,1635017028,244,0,1,0.096002,0.096,0.0006,0
1,1635017028,244,0,1,0.097002,0.097,0.00060625,0
1,1635017028,244,0,1,0.098002,0.098,0.0006125,0
1,1635017028,244,0,1,0.099002,0.099,0.00061875,0
1,1308622969,0,0,1,0.1,0.1,0.000625,0
1,1308622969,0,0,1,0.101,0.101,0.00063125,0
1,1308622969,0,0,1,0.102,0.102,0.0006375,0
1,1308622969,0,0,1,0.103,0.103,0.00064375,0
1,1308622969,0,0,1,0.104,0.104,0.00065,0
1,1308622969,0,0,1,0.105,0.105,0.00065625,0
1,1700949365,0,0,1,0.106,0.106,0.0006625,0
1,1130778482,0,0,1,0.107,0.107,0.00066875,0
1,1130778482,0,0,1,0.108,0.108,0.000675,0
1,1130778482,0,0,1,0.109,0.109,0.00068125,0
1,1130778482,0,0,1,0.11,0.11,0.0006875,0
1,1130778482,0,0,1,0.111,0.111,0.00069375,0
1,1869639023,486,0,1,0.112,0.112,0.0007,0
1,1953391982,0,0,1,0.113,0.113,0.00070625,0
1,1953391982,0,0,1,0.114,0.114,0.0007125,0
1,1953391982,0,0,1,0.115,0.115,0.00071875,0
1,1953391982,0,0,1,0.116,0.116,0.000725,0
1,1953391982,0,0,1,0.117,0.117,0.00073125,0
1,1953391982,0,0,1,0.118,0.118,0.0007375,0
1,1634562671,0,0,1,0.119,0.119,0.00074375,0
1,1634562671,0,0,1,0.12,0.12,0.00075,0
1,1634562671,0,0,1,0.121,0.121,0.00075625,0
1,1634562671,0,0,1,0.122,0.122,0.0007625,0
1,1634562671,0,0,1,0.123,0.123,0.00076875,0
1,1634562671,0,0,1,0.124,0.124,0.000775,0
1,7564396,469,0,1,0.125,0.125,0.00078125,0
1,7564396,469,0,1,0.126,0.126,0.0007875,0
1,7564396,469,0,1,0.127,0.127,0.00079375,0
1,7564396,469,0,1,0.128,0.128,0.0008,0
1,7564396,469,0,1,0.129,0.129,0.00080625,0
1,7564396,469,0,1,0.13,0.13,0.0008125,0
1,1835093504,0,0,1,0.131,0.131,0.00081875,0
1,1867513957,0,0,1,0.132,0.132,0.000825,0
1,1867513957,0,0,1,0.133,0.133,0.00083125,0
1,1867513957,0,0,1,0.134,0.134,0.0008375,0
1,1867513957,0,0,1,0.135,0.135,0.00084375,0
1,1867513957,0,0,1,0.136,0.136,0.00085,0
1,1148481129,0,0,1,0.137,0.137,0.00085625,0
1,6386785,0,80,1,0.138,0.138,0.0008625,0
1,6386785,0,80,1,0.139,0.139,0.00086875,0
1,6386785,0,80,1,0.14,0.14,0.000875,0
1,6386785,0,80,1,0.141,0.141,0.00088125,0
1,6386785,0,80,1,0.142,0.142,0.0008875,0
1,1633899264,301,80,1,0.143,0.143,0.00089375,0
1,1936875884,0,80,1,0.144,0.144,0.0009,0
1,1936875884,0,80,1,0.145,0.145,0.00090625,0
1,1936875884,0,80,1,0.146,0.146,0.0009125,0
1,1936875884,0,80,1,0.147,0.147,0.00091875,0
1,1936875884,0,80,1,0.148,0.148,0.000925,0
1,1936875884,0,80,1,0.149,0.149,0.00093125,0
1,1952542066,0,80,1,0.15,0.15,0.0009375,0
1,1952542066,0,80,1,0.151,0.151,0.00094375,0
1,1952542066,0,80,1,0.152,0.152,0.00095,0
1,1952542066,0,80,1,0.153,0.153,0.00095625,0
1,1952542066,0,80,1,0.154,0.154,0.0009625,0
1,1952542066,0,80,1,0.155,0.155,0.00096875,0
1,0,0,80,1,0.156,0.156,0.000975,0
1,0,244,80,1,0.157,0.157,0.00098125,0
1,0,244,80,1,0.158,0.158,0.0009875,0
1,0,244,80,1,0.159,0.159,0.00099375,0
1,0,244,80,1,0.16,0.16,0.001,0
1,0,244,80,1,0.161,0.161,0.0010063,0
1,0,0,80,1,0.162,0.162,0.0010125,0
1,0,0,0,1,0.163,0.163,0.0010188,0
1,0,0,0,1,0.164,0.164,0.001025,0
1,0,0,0,1,0.165,0.165,0.0010312,0
1,0,0,0,1,0.166,0.166,0.0010375,0
1,0,0,0,1,0.167,0.167,0.0010437,0
1,0,0,0,1,0.168,0.168,0.00105,0
1,0,0,0,1,0.169,0.169,0.0010562,0
1,0,0,0,1,0.17,0.17,0.0010625,0
1,0,0,0,1,0.171,0.171,0.0010688,0
1,0,0,0,1,0.172,0.172,0.001075,0
1,0,0,0,1,0.173,0.173,0.0010813,0
1,0,315,0,1,0.174,0.174,0.0010875,0
1,0,315,0,1,0.175,0.175,0.0010938,0
1,0,0,0,1,0.176,0.176,0.0011,0
1,0,0,0,1,0.177,0.177,0.0011062,0
1,0,0,0,1,0.178,0.178,0.0011125,0
1,0,0,0,1,0.179,0.179,0.0011187,0
1,0,0,0,1,0.18,0.18,0.001125,0
1,0,0,0,1,0.181,0.181,0.0011313,0
1,0,0,0,1,0.182,0.182,0.0011375,0
1,0,0,0,1,0.183,0.183,0.0011438,0
1,0,0,0,1,0.184,0.184,0.00115,0
1,0,0,0,1,0.185,0.185,0.0011563,0
1,0,0,0,1,0.186,0.186,0.0011625,0
1,0,0,0,1,0.187,0.187,0.0011687,0
1,0,472,0,1,0.188,0.188,0.001175,0
1,0,472,0,1,0.189,0.189,0.0011812,0
1,0,472,0,1,0.19,0.19,0.0011875,0
1,0,472,0,1,0.191,0.191,0.0011937,0
1,0,472,0,1,0.192,0.192,0.0012,0
1,0,0,0,1,0.193,0.193,0.0012063,0
1,0,0,0,1,0.194,0.194,0.0012125,0
1,0,0,0,1,0.195,0.195,0.0012188,0
1,0,0,0,1,0.196,0.196,0.001225,0
1,0,0,0,1,0.197,0.197,0.0012313,0
1,0,0,0,1,0.198,0.198,0.0012375,0
1,0,0,0,1,0.199,0.199,0.0012437,0
1,0,0,0,1,0.2,0.2,0.00125,0
1,0,0,0,1,0.201,0.201,0.0012562,0
1,0,0,0,1,0.202,0.202,0.0012625,0
1,0,0,0,1,0.203,0.203,0.0012688,0
1,0,0,0,1,0.204,0.204,0.001275,0
1,0,470,0,1,0.205,0.205,0.0012813,0
1,0,470,0,1,0.206,0.206,0.0012875,0
1,0,0,0,1,0.207,0.207,0.0012938,0
1,0,0,0,1,0.208,0.208,0.0013,0
1,0,0,0,1,0.209,0.209,0.0013062,0
1,0,0,0,1,0.21,0.21,0.0013125,0
1,0,0,0,1,0.211,0.211,0.0013187,0
1,0,0,0,1,0.212,0.212,0.001325,0
1,0,0,0,1,0.213,0.213,0.0013312,0
1,0,0,0,1,0.214,0.214,0.0013375,0
1,0,0,0,1,0.215,0.215,0.0013438,0
1,0,0,0,1,0.216,0.216,0.00135,0
1,0,0,0,1,0.217,0.217,0.0013563,0
1,0,0,0,1,0.218,0.218,0.0013625,0
1,0,487,0,1,0.219,0.219,0.0013688,0
1,0,487,0,1,0.22,0.22,0.001375,0
1,0,487,0,1,0.221,0.221,0.0013812,0
1,0,487,0,1,0.222,0.222,0.0013875,0
1,0,487,0,1,0.223,0.223,0.0013937,0
1,0,0,0,1,0.224,0.224,0.0014,0
0.99999,0,0,0,1,0.225,0.225,0.0014063,0
0.99999,0,0,0,1,0.226,0.226,0.0014125,0
0.99999,0,0,0,1,0.227,0.227,0.0014188,0
0.99999,0,0,0,1,0.228,0.228,0.001425,0
0.99999,0,0,0,1,0.229,0.229,0.0014313,0
0.99998,0,0,0,1,0.23,0.23,0.0014375,0
0.99998,0,0,0,1,0.231,0.231,0.0014437,0
0.99998,0,0,0,1,0.232,0.232,0.00145,0
0.99997,0,0,0,1,0.233,0.233,0.0014562,0
0.99996,0,0,0,1,0.234,0.234,0.0014625,0
0.99996,0,0,0,1,0.235,0.235,0.0014687,0
0.99995,0,0,0,1,0.236,0.236,0.001475,0
0.99995,0,244,0,1,0.237,0.237,0.0014813,0
0.99994,0,0,0,1,0.238,0.238,0.0014875,0
0.99992,0,0,0,1,0.239,0.239,0.0014938,0
0.99991,0,0,0,1,0.24,0.24,0.0015,0
0.99989,0,0,0,1,0.241,0.241,0.0015063,0
0.99988,0,0,0,1,0.242,0.242,0.0015125,0
0.99986,0,0,0,1,0.243,0.243,0.0015187,0
0.99985,0,0,0,1,0.244,0.244,0.001525,0
0.99981,0,0,0,1,0.245,0.245,0.0015312,0
0.99978,0,0,0,1,0.246,0.246,0.0015375,0
0.99975,0,0,0,1,0.247,0.247,0.0015438,0
0.99972,0,0,0,1,0.248,0.248,0.00155,0
0.99968,0,0,0,1,0.249,0.249,0.0015563,0
0.99965,0,0,0,1,0.25,0.25,0.0015625,0
0.99959,0,270,80,1,0.251,0.251,0.0015688,0
0.99952,0,270,80,1,0.252,0.252,0.001575,0
0.99946,0,270,80,1,0.253,0.253,0.0015812,0
0.99939,0,270,80,1,0.254,0.254,0.0015875,0
0.99933,0,0,80,1,0.255,0.255,0.0015937,0
0.99926,0,0,80,1,0.25601,0.256,0.0016,0
0.99915,0,0,80,1,0.25701,0.257,0.0016062,0
0.99903,0,0,80,1,0.25801,0.258,0.0016125,0
0.99891,0,0,80,1,0.25901,0.259,0.0016188,0
0.99879,0,0,80,1,0.26001,0.26,0.001625,0
0.99867,0,0,80,1,0.26101,0.261,0.0016313,0
0.99855,0,0,80,1,0.26201,0.262,0.0016375,0
0.99838,0,0,160,1,0.26301,0.263,0.0016438,0
0.99818,0,0,160,1,0.26401,0.264,0.00165,0
0.99797,0,0,160,1,0.26501,0.265,0.0016562,0
0.99776,0,0,160,1,0.26601,0.266,0.0016625,0
0.99756,0,0,160,1,0.26701,0.267,0.0016687,0
0.99735,0,213,160,1,0.26801,0.268,0.001675,0
0.99711,0,0,160,1,0.26901,0.269,0.0016813,0
0.99678,0,0,160,1,0.27001,0.27,0.0016875,0
0.99645,0,0,160,1,0.27101,0.271,0.0016938,0
0.99612,0,0,160,1,0.27201,0.272,0.0017,0
0.99579,0,0,160,1,0.27301,0.273,0.0017063,0
0.99546,0,0,160,1,0.27401,0.274,0.0017125,0
0.99513,0,0,80,1,0.27501,0.275,0.0017187,0
0.99464,0,0,80,1,0.27601,0.276,0.001725,0
0.99415,0,0,80,1,0.27701,0.277,0.0017312,0
0.99366,0,0,80,1,0.27801,0.278,0.0017375,0
0.99316,0,0,80,1,0.27901,0.279,0.0017437,0
0.99267,0,0,80,1,0.28001,0.28,0.00175,0
0.99218,0,0,80,1,0.28101,0.281,0.0017563,0
0.99155,0,213,80,1,0.28201,0.282,0.0017625,0
0.99086,0,213,80,1,0.28301,0.283,0.0017688,0
0.99017,0,213,80,1,0.28401,0.284,0.001775,0
0.98949,0,213,80,1,0.28501,0.285,0.0017813,0
0.9888,0,0,80,1,0.28601,0.286,0.0017875,0
0.98812,0,0,80,1,0.28701,0.287,0.0017937,0
0.98732,0,0,0,1,0.28801,0.288,0.0018,0
0.98641,0,0,0,1,0.28901,0.289,0.0018062,0
0.98551,0,0,0,1,0.29001,0.29,0.0018125,0
0.9846,0,0,0,1,0.29101,0.291,0.0018188,0
0.9837,0,0,0,1,0.29201,0.292,0.001825,0
0.98279,0,0,0,1,0.29301,0.293,0.0018313,0
0.98183,0,0,0,1,0.29401,0.294,0.0018375,0
0.98069,0,0,0,1,0.29501,0.295,0.0018438,0
0.97955,0,0,0,1,0.29601,0.296,0.00185,0
0.97841,0,0,0,1,0.29701,0.297,0.0018562,0
0.97727,0,0,0,1,0.29801,0.298,0.0018625,0
0.97613,0,472,0,1,0.29901,0.299,0.0018687,0
0.97499,0,0,0,1,0.30001,0.3,0.001875,0
0.97362,0,0,0,1,0.30101,0.301,0.0018812,0
0.97225,0,0,0,1,0.30201,0.302,0.0018875,0
0.97088,0,0,0,1,0.30301,0.303,0.0018938,0
0.96951,0,0,0,1,0.30401,0.304,0.0019,0
0.96813,0,0,0,1,0.30501,0.305,0.0019063,0
0.96676,0,0,0,1,0.30601,0.306,0.0019125,0
0.96522,0,0,0,1,0.30701,0.307,0.0019188,0
0.96363,0,0,0,1,0.30801,0.308,0.001925,0
0.96204,0,0,0,1,0.30901,0.309,0.0019312,0
0.96044,0,0,0,1,0.31001,0.31,0.0019375,0
0.95885,0,0,0,1,0.31101,0.311,0.0019437,0
0.95726,0,0,0,1,0.31201,0.312,0.00195,0
0.95556,0,244,0,1,0.31301,0.313,0.0019563,0
0.95377,0,244,0,1,0.31401,0.314,0.0019625,0
0.95197,0,244,0,1,0.31501,0.315,0.0019688,0
0.95018,0,244,0,1,0.31601,0.316,0.001975,0
0.94839,0,0,0,1,0.31701,0.317,0.0019813,0
0.94659,0,0,0,1,0.31801,0.318,0.0019875,0
0.94475,0,0,0,1,0.31901,0.319,0.0019937,0
0.94278,0,0,0,1,0.32001,0.32,0.002,0
0.94081,0,0,0,1,0.32101,0.321,0.0020062,0
0.93884,0,0,0,1,0.32201,0.322,0.0020125,0
0.93687,0,0,0,1,0.32301,0.323,0.0020187,0
0.9349,0,0,0,1,0.32401,0.324,0.002025,0
0.93293,0,0,0,1,0.32501,0.325,0.0020312,0
0.93081,0,0,0,1,0.32601,0.326,0.0020375,0
0.92869,0,0,0,1,0.32701,0.327,0.0020437,0
0.92657,0,0,0,1,0.32801,0.328,0.00205,0
0.92444,0,0,0,1,0.32901,0.329,0.0020563,0
0.92232,0,213,0,1,0.33001,0.33,0.0020625,0
0.9202,0,213,0,1,0.33101,0.331,0.0020688,0
0.91799,0,0,0,1,0.33201,0.332,0.002075,0
0.91575,0,0,0,1,0.33301,0.333,0.0020813,0
0.91351,0,0,0,1,0.33401,0.334,0.0020875,0
0.91127,0,0,0,1,0.33501,0.335,0.0020938,0
0.90903,0,0,0,1,0.33601,0.336,0.0021,0
0.90678,0,0,0,1,0.33701,0.337,0.0021063,0
0.90449,0,0,0,1,0.33801,0.338,0.0021125,0
0.90216,0,0,0,1,0.33901,0.339,0.0021188,0
0.89982,0,0,0,1,0.34001,0.34,0.002125,0
0.89748,0,0,0,1,0.34101,0.341,0.0021312,0
0.89514,0,0,0,1,0.34201,0.342,0.0021375,0
0.89281,0,0,0,1,0.34301,0.343,0.0021437,0
0.89045,0,486,0,1,0.34401,0.344,0.00215,0
0.88804,0,486,0,1,0.34501,0.345,0.0021562,0
0.88563,0,486,0,1,0.34601,0.346,0.0021625,0
0.88322,0,486,0,1,0.34701,0.347,0.0021687,0
0.88081,0,0,0,1,0.34801,0.348,0.002175,0
0.87841,0,0,0,1,0.34901,0.349,0.0021812,0
0.876,0,0,0,1,0.35001,0.35,0.0021875,0
0.87354,0,0,0,1,0.35101,0.351,0.0021938,0
0.87108,0,0,0,1,0.35201,0.352,0.0022,0
0.86862,0,0,0,1,0.35301,0.353,0.0022063,0
0.86616,0,0,0,1,0.35401,0.354,0.0022125,0
0.8637,0,0,0,1,0.35501,0.355,0.0022188,0
0.86124,0,0,0,1,0.35601,0.356,0.002225,0
